"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
285079,0.194941025364416,0.0340943123925004,0.284967449832179,285079,"R",0,0
642094,0.271017723294347,0.0829896749643331,0.357008956507715,642094,"R",0,0
608061,0.157215098623442,0.0519247916241195,0.346337878483509,608061,"R",0.00106666666666667,0
607968,0.236451116747182,0.0828226806316385,0.359694628099174,607968,"R",0,0
542908,0.28588868028298,0.0698325724903203,0.335304786797632,542908,"R",-0.000786170212765957,0
592200,0.213733784179674,0.0846024952661888,0.36582959467658,592200,"R",-0.00306794871794872,0
543939,0.153271820596454,0.0796322177622738,0.315029909734324,543939,"L",0.00280883683949377,0.00820730407173723
543760,0.188899130075986,0.088930174004881,0.337294497863935,543760,"R",0.00473026481622064,0.00522116933162667
543068,0.258775900964891,0.0649421604450263,0.434120686863368,543068,"R",-0.00316367292225201,-0.00646977419286959
543308,0.264732699389071,0.0564742316131117,0.38118783165472,543308,"R",-0.00354854925775978,-0.006587624750499
553993,0.231249631591849,0.10352347468444,0.434897154583425,553993,"R",-0.00374330325437607,0.000292700884580751
596115,0.262747224987261,0.0778616792610909,0.454112460618385,596115,"R",0.000990996484289167,0.00365261924987041
605388,0.227926541284404,0.0933894030590048,0.368460614921141,605388,"L",0,0
605541,0.216216216216216,0.0848824843492587,0.359367355371901,605541,"R",0,0
605227,0.269051107205868,0.10484258507798,0.365886458427372,605227,"R",0,0
605357,0.208832209692953,0.0798893353201403,0.34708318400271,605357,"R",0,0
607257,0.318600072957357,0.0936541320993894,0.355983485948277,607257,"L",-0.0014974358974359,0
595191,0.275803632786961,0.0565569605255336,0.335624423231797,595191,"R",0,0
606273,0.22524545320197,0.0836028160592829,0.365911238087706,606273,"L",0,0
607297,0.228235292316337,0.0862204879093709,0.359478688197767,607297,"R",0,0
542993,0.211384943231441,0.0823270270228943,0.34894717421897,542993,"S",0,0
545333,0.226893069691466,0.0843744712820833,0.351222471011595,545333,"R",0,0
607385,0.29768063574026,0.098913039999753,0.362492452987649,607385,"L",-0.00329230769230769,0
543652,0.219488212790698,0.0833039733574802,0.345940476190476,543652,"L",0,0
591971,0.17617927449603,0.0858514878761711,0.321773084296365,591971,"S",0,0
606160,0.2579304908259,0.0634900614907145,0.325316626794258,606160,"R",0,0
